appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer,appid,Genre
288750,"Hotel Collectors Edition",game,6.99,"2014-04-25 00:00:00",-1,0,0,288750,Adventure
288750,"Hotel Collectors Edition",game,6.99,"2014-04-25 00:00:00",-1,0,0,288750,Indie
289220,BorderZone,game,2.99,"2014-04-23 00:00:00",-1,0,0,289220,Action
289220,BorderZone,game,2.99,"2014-04-23 00:00:00",-1,0,0,289220,RPG
289820,"Dracula 2: The Last Sanctuary",game,4.99,"2014-04-17 00:00:00",68,0,0,289820,Adventure
289820,"Dracula 2: The Last Sanctuary",game,4.99,"2014-04-17 00:00:00",68,0,0,289820,Casual
293240,Cosmochoria,game,9.99,"2015-04-27 00:00:00",-1,0,0,293240,Action
293240,Cosmochoria,game,9.99,"2015-04-27 00:00:00",-1,0,0,293240,Adventure
293240,Cosmochoria,game,9.99,"2015-04-27 00:00:00",-1,0,0,293240,Indie
293240,Cosmochoria,game,9.99,"2015-04-27 00:00:00",-1,0,0,293240,Strategy
298820,"Millennium 2 - Take Me Higher",game,5.99,"2014-07-10 00:00:00",-1,0,0,298820,Adventure
298820,"Millennium 2 - Take Me Higher",game,5.99,"2014-07-10 00:00:00",-1,0,0,298820,Casual
298820,"Millennium 2 - Take Me Higher",game,5.99,"2014-07-10 00:00:00",-1,0,0,298820,Indie
298820,"Millennium 2 - Take Me Higher",game,5.99,"2014-07-10 00:00:00",-1,0,0,298820,RPG
304500,"Rooms: The Main Building",game,9.99,"2014-07-11 00:00:00",-1,0,0,304500,Casual
304500,"Rooms: The Main Building",game,9.99,"2014-07-11 00:00:00",-1,0,0,304500,Indie
305840,"Shallow Space",game,14.99,"2015-10-21 00:00:00",-1,0,0,305840,"Early Access"
305840,"Shallow Space",game,14.99,"2015-10-21 00:00:00",-1,0,0,305840,RPG
305840,"Shallow Space",game,14.99,"2015-10-21 00:00:00",-1,0,0,305840,Simulation
305840,"Shallow Space",game,14.99,"2015-10-21 00:00:00",-1,0,0,305840,Strategy
307070,"Memories of a Vagabond",game,4.99,"2014-07-07 00:00:00",-1,0,0,307070,Adventure
307070,"Memories of a Vagabond",game,4.99,"2014-07-07 00:00:00",-1,0,0,307070,Indie
307070,"Memories of a Vagabond",game,4.99,"2014-07-07 00:00:00",-1,0,0,307070,RPG
307430,Reversi,game,9.99,"2015-03-19 00:00:00",-1,0,1,307430,Casual
