appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer,appid,Name,Percentage
46520,"Wasteland Angel",game,9.99,"2011-09-01 00:00:00",-1,0,0,46520,7,89.9015
46520,"Wasteland Angel",game,9.99,"2011-09-01 00:00:00",-1,0,0,46520,8,69.7115
46520,"Wasteland Angel",game,9.99,"2011-09-01 00:00:00",-1,0,0,46520,9,59.9213
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_angry_stamp,24.2825
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_beetle_stamp,1.36428
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_boot_decoration,1.41419
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_bowtie_decoration,1.5972
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_bowtie_stamp,1.36428
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_claw_decoration,1.73862
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_CM_EASY,1.33932
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_CM_HARD,1.2395
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_CM_MEDIUM,1.2395
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_confused_stamp,3.59371
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_crown_decoration,1.28941
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_cyborg_decoration,1.43915
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_demo_bonus,2.12129
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_dragsicle_stamp,1.3726
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_drilldude_bonus,5.42384
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_drilldude_bonus2,6.08103
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_gofo_bonus1,2.15456
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_gofo_bonus2,1.95491
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_gofo_bonus3,2.6121
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_guitar_stamp,1.29773
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_heart_stamp,4.89976
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_helmet_decoration,35.4879
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_helmet_stamp,4.39231
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_hippyshirt_decoration,1.29773
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_icecube_decoration,1.29773
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_lol_stamp,8.60993
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_mask_decoration,1.39755
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_mohawk_decoration,1.49738
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_MULTISAFE,1.85509
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_MULTI_8,1.331
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_MULTI_WIN,2.31262
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_parka_decoration,2.07138
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_patch_decoration,1.27277
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_peace_stamp,1.30605
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_pompom_decoration,1.51402
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_president_stamp,1.78022
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_robobrain_moustache_stamp,2.53723
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_rope_stamp,1.38924
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_SAVE_NEW_LEVEL,4.80825
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_shades_decoration,2.06306
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_skull_stamp,1.5057
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_smug_stamp,2.45404
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_snoog_bonus,1.52234
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_snoog_stamp,1.51402
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_snowman_stamp,1.73031
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_SPEEDRUN,1.23118
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_stache_decoration,7.60336
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_stop_stamp,1.75526
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_sunglasses_front_stamp,1.64712
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_suprised_stamp,49.4718
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_tauntblue_stamp,54.0055
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_tauntgreen_stamp,37.8504
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_tauntgrey_stamp,30.8543
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_tauntorange_stamp,15.2982
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_tauntpurple_stamp,10.3236
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_tauntred_stamp,8.32709
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_tauntwhite_stamp,6.42209
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_tauntyellow_stamp,4.94135
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_touque_decoration,2.17952
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_trillip_bonus1,1.69703
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_trillip_bonus2,1.62216
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_trillip_stamp,1.6388
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_vector_stamp,1.35596
72400,Clones,game,9.99,"2010-11-18 00:00:00",-1,0,1,72400,ACH_WATTSON,1.29773
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,,0
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_ADDER_ACE,18.2507
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_BACKWORDS_BEAUTY,17.0292
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_COLOURING_KING,0.340171
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_CROSSWORD_CHAMP,21.4772
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_DOING_THE_SPLITS,25.6468
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_FITNESS_FREAK,26.5488
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_FITTER,0.00515411
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_MEMORY_MAESTRO,20.0443
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_PICK_A_PAIR,19.1269
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_PIECE_IT_TOGETHER,18.2507
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_QUICK_LINKER,0.00515411
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_QUICK_PIX_LINKER,28.2754
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_QUICK_SLIDER,22.6472
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_QUICK_THINKER,26.8323
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_SEARCH_WIZARD,0.00515411
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_SHADOW_MAKER,0.00515411
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_SHAPE_SHIFTER,24.4666
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_SUDOKU_SAVIOUR,27.9868
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_SUDOKU_SUPREME,0.00515411
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_SUMMARISER,20.5649
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_SUPER_SPOTTER,21.1267
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_UNHUNG_HERO,26.9148
200130,"Puzzler World 2",game,4.99,"2011-10-24 00:00:00",-1,0,0,200130,ACH_WORD_WIZARD,29.3114
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_ABYSS,12.6246
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_ABYSS_RAID,5.73855
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_ANABASIS,27.3837
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_ARSENAL,83.9685
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_BLITZKRIEG,76.9784
204530,"Infested Planet",game,14.99,"2014-03-06 00:00:00",75,0,0,204530,BEAT_CONTACT,60.9796
