appid,title,is_multiplayer,playtime_forever,avg_achievement_percentage
34920,"Razor2: Hidden Skies",0,4317676,13.767136968121948
222880,Insurgency,1,431866675,6.45483263127941
19500,"Eternity's Child",0,489995,20.49841637611389
200130,"Puzzler World 2",0,118442592,16.45277657257005
46520,"Wasteland Angel",0,25660080,32.48838903903961
220740,"Chaos on Deponia",0,305672750,28.47084393220789
72400,Clones,1,93072832,6.192028118297458
204530,"Infested Planet",0,21626093,30.594790931111454
