app_id,is_multiplayer,price,rating,release_date,required_age,title
12900,0,9.99,85,"2008-02-15 00:00:00",0,AudioSurf
13000,1,4.99,57,"2008-03-21 00:00:00",0,"Ninja Reflex: Steamworks Edition"
13140,1,0,70,"2009-06-17 00:00:00",0,"America's Army 3"
13200,0,14.99,75,"2008-03-17 00:00:00",17,"Unreal 2: The Awakening"
13210,1,19.99,83,"2009-03-05 00:00:00",17,"Unreal Tournament 3 Black"
13230,1,14.99,93,"2004-03-17 00:00:00",17,"Unreal Tournament 2004: Editor's Choice Edition"
13240,1,9.99,92,"2008-03-17 00:00:00",17,"Unreal Tournament: Game of the Year Edition"
13500,0,9.99,83,"2008-11-21 00:00:00",17,"Prince of Persia: Warrior Within™"
13520,0,9.99,89,"2008-04-01 00:00:00",17,"Far Cry®"
13530,0,9.99,85,"2008-11-21 00:00:00",17,"Prince of Persia: The Two Thrones™"
13540,1,9.99,85,"2008-04-09 00:00:00",17,"Tom Clancy's Rainbow Six® Vegas"
13560,0,9.99,91,"2008-04-01 00:00:00",0,"Tom Clancy's Splinter Cell®"
13570,1,9.99,92,"2009-08-27 00:00:00",0,"Tom Clancy's Splinter Cell Chaos Theory®"
13580,1,9.99,80,"2009-02-13 00:00:00",17,"Tom Clancy's Splinter Cell Double Agent®"
13600,0,9.99,89,"2008-11-21 00:00:00",0,"Prince of Persia®: The Sands of Time"
13620,1,4.99,82,"2008-07-15 00:00:00",17,"Tom Clancy's Ghost Recon® Desert Siege™"
13630,0,4.99,82,"2008-07-15 00:00:00",0,"Tom Clancy's Ghost Recon® Island Thunder™"
15000,1,9.99,59,"2008-05-13 00:00:00",17,"Tom Clancy's Rainbow Six Lockdown™"
15080,0,9.99,58,"2008-06-13 00:00:00",0,"Rayman Raving Rabbids™"
15100,0,19.99,79,"2008-04-09 00:00:00",17,"Assassin's Creed™: Director's Cut Edition"
15120,1,9.99,78,"2008-04-16 00:00:00",17,"Tom Clancy's Rainbow Six® Vegas 2"
15170,0,9.99,77,"2008-05-13 00:00:00",0,"Heroes of Might & Magic V"
15190,0,9.99,87,"2008-05-13 00:00:00",17,"Brothers in Arms: Road to Hill 30™"
15200,1,9.99,79,"2008-06-13 00:00:00",0,"Silent Hunter®: Wolves of the Pacific"
15210,1,9.99,90,"2008-06-13 00:00:00",0,"Silent Hunter® III"
15230,1,9.99,72,"2008-05-13 00:00:00",0,"Blazing Angels® 2: Secret Missions of WWII"
15270,0,9.99,66,"2008-05-13 00:00:00",17,"Cold Fear™"
15280,1,9.99,86,"2008-06-13 00:00:00",0,"IL-2 Sturmovik: 1946"
15300,0,9.99,80,"2008-07-15 00:00:00",17,"Tom Clancy's Ghost Recon®"
15310,0,9.99,58,"2008-07-22 00:00:00",0,"The Settlers®: Heritage of Kings"
15320,1,9.99,86,"2008-06-13 00:00:00",0,"IL-2 Sturmovik: 1946"
15370,0,9.99,70,"2008-10-10 00:00:00",0,"Heroes of Might & Magic V: Tribes of the East"
15380,0,9.99,66,"2008-10-10 00:00:00",0,"Heroes of Might & Magic V: Hammers of Fate"
15390,0,9.99,79,"2008-10-08 00:00:00",17,"Brothers in Arms: Hell's Highway™"
15520,0,9.99,81,"2009-09-03 00:00:00",0,"AaAaAA!!! - A Reckless Disregard for Gravity"
15620,1,19.99,85,"2009-02-18 00:00:00",17,"Warhammer® 40,000™: Dawn of War® II"
16300,0,9.99,77,"2008-05-08 00:00:00",0,"Everyday Shooter"
16450,1,14.99,79,"2009-02-12 00:00:00",17,"F.E.A.R. 2: Project Origin"
16710,0,2.99,65,"2008-07-01 00:00:00",0,"Insecticide Part 1"
16720,0,4.99,61,"2009-05-01 00:00:00",17,"Velvet Assassin"
16730,0,2.99,50,"2008-12-01 00:00:00",17,Legendary
16810,1,19.99,83,"2008-09-23 00:00:00",0,"Sid Meier's Civilization IV: Colonization"
17080,1,0,86,"2012-06-27 00:00:00",0,"Tribes: Ascend"
17100,0,7.99,75,"2008-07-08 00:00:00",0,"Children of the Nile: Enhanced Edition"
17140,0,9.99,65,"2008-09-30 00:00:00",0,Hinterland
17300,0,19.99,91,"2008-09-17 00:00:00",17,Crysis
17330,0,19.99,84,"2008-09-17 00:00:00",17,"Crysis Warhead®"
17340,0,19.99,84,"2008-09-17 00:00:00",17,"Crysis Warhead®"
17390,0,19.99,84,"2008-12-19 00:00:00",0,SPORE™
17410,0,19.99,81,"2009-01-14 00:00:00",0,"Mirror's Edge™"
17430,1,9.99,65,"2008-12-19 00:00:00",0,"Need for Speed Undercover"
17450,0,19.99,91,"2009-11-05 00:00:00",17,"Dragon Age: Origins"
17460,0,19.99,89,"2008-12-19 00:00:00",17,"Mass Effect"
17470,0,19.99,86,"2009-01-09 00:00:00",0,"Dead Space"
17480,0,19.99,82,"2009-01-08 00:00:00",0,"Command & Conquer: Red Alert 3"
17710,1,9.99,71,"2011-09-26 00:00:00",0,"Nuclear Dawn"
18040,0,14.99,77,"2010-10-25 00:00:00",0,DeathSpank
18050,0,14.99,78,"2010-11-30 00:00:00",0,"DeathSpank: Thongs of Virtue"
18070,0,14.99,63,"2011-08-31 00:00:00",0,"The Baconing"
18120,0,9.99,73,"2012-01-19 00:00:00",0,"Unstoppable Gorg"
18400,0,14.99,72,"2008-06-20 00:00:00",0,"Crazy Machines 2"
18420,0,9.99,78,"2008-12-12 00:00:00",0,"Crazy Machines"
18450,0,9.99,78,"2008-12-12 00:00:00",0,"Crazy Machines 1.5"
18460,0,9.99,78,"2008-12-12 00:00:00",0,"Crazy Machines 1.5"
18470,0,9.99,65,"2009-04-30 00:00:00",0,Helldorado
18480,0,9.99,63,"2009-07-29 00:00:00",0,"Mata Hari"
18500,0,9.99,81,"2008-12-08 00:00:00",0,"Defense Grid: The Awakening"
18700,0,9.99,75,"2009-04-02 00:00:00",0,"And Yet It Moves"
19000,0,39.99,64,"2008-11-06 00:00:00",17,"Silent Hill Homecoming"
19030,0,14.99,63,"2010-05-11 00:00:00",0,"Rocket Knight"
19680,0,19.99,75,"2011-06-17 00:00:00",17,"Alice: Madness Returns"
19800,0,9.99,84,"2008-10-10 00:00:00",17,"Brothers in Arms: Earned in Blood™"
19810,1,9.99,72,"2008-10-10 00:00:00",0,"The Sum of All Fears"
19830,1,9.99,85,"2008-09-25 00:00:00",0,"Tom Clancy's Rainbow Six® 3 Gold"
19900,1,9.99,85,"2008-10-22 00:00:00",17,"Far Cry® 2: Fortune's Edition"
19930,0,19.99,66,"2008-10-10 00:00:00",0,"The Settlers®: Rise Of An Empire Gold Edition"
19980,0,9.99,82,"2008-12-10 00:00:00",0,"Prince of Persia®"
20500,1,19.99,82,"2009-09-15 00:00:00",0,"Red Faction Guerrilla Steam Edition"
20510,1,9.99,75,"2008-09-15 00:00:00",0,"S.T.A.L.K.E.R.: Clear Sky"
20530,1,9.99,78,"2009-08-05 00:00:00",0,"Red Faction"
20540,1,19.99,70,"2009-04-08 00:00:00",17,"Company of Heroes: Tales of Valor"
20550,0,9.99,64,"2009-08-06 00:00:00",0,"Red Faction II"
20570,1,19.99,85,"2010-03-10 00:00:00",17,"Warhammer® 40,000: Dawn of War® II Chaos Rising"
20710,0,9.99,83,"2008-11-03 00:00:00",0,"Mr. Robot"
20820,0,9.99,84,"2010-03-15 00:00:00",0,Shatter
20900,0,9.99,86,"2008-09-19 00:00:00",0,"The Witcher: Enhanced Edition Director's Cut"
20920,0,19.99,88,"2012-04-16 00:00:00",17,"The Witcher 2: Assassins of Kings Enhanced Edition"
21000,0,19.99,80,"2008-09-29 00:00:00",0,"LEGO Batman"
21010,1,4.99,61,"2009-03-04 00:00:00",17,"Watchmen: The End is Nigh"
21030,0,4.99,44,"2009-07-29 00:00:00",17,"Watchmen: The End is Nigh Part 2"
21090,0,9.99,88,"2010-05-21 00:00:00",17,F.E.A.R.
21100,1,19.99,74,"2011-06-21 00:00:00",17,"F.E.A.R. 3"
21110,0,9.99,88,"2010-05-21 00:00:00",17,F.E.A.R.
21120,0,9.99,88,"2010-05-21 00:00:00",17,F.E.A.R.
