app_id,sum(CGS.total_play_time)
42830,23953
42850,33501973
42870,912921
42930,554755
42940,640876
42980,6682091
43100,3216886
43160,107982191
44000,269199
44100,1757169
44320,174309756
44600,359110
44620,7469
44630,17726
44650,14218
44660,7671
44670,9732
45100,8113119
45400,3039581
45410,344000
45500,999483
45730,466318
45760,248845204
45900,125260
46200,172841
46210,743753
46220,170683
46230,117235
46250,1111491
46260,8999959
46270,3373874
46280,1213849
46320,2173476
46330,11686864
46350,249807
46360,5670543
46400,3121457
46420,2461666
46430,1647388
46440,1046828
46460,3245282
46470,0
46520,641502
46600,1138437
46700,278454
46710,284332
46720,507606
46730,932578
46740,629622
46760,95113
46830,180653
46840,58129
46850,335485
47000,6560664
47110,243924
47120,217870
47130,223194
47400,164325022
47500,841077
47520,409660
47570,271422
47850,25269002
47900,295069487
48120,65104856
48150,112906
48160,8851867
48180,14636532
48900,992681
49000,1764451
49320,356040
49400,225552661
49700,2765652
49800,1571711
50120,22684910
50310,18825892
50400,5774692
50650,338167493
50800,71364
50820,4981059
50900,70088
50910,78208
50920,620686
50930,527657
50940,408773
50950,7619321
50960,550232
50970,679580
50980,650228
50990,745740
51000,709192
51010,952954
51020,830451
51030,202452
51040,1918540
51060,1556324
55020,132830
55130,2312
55140,66401965
55180,411389
55190,849579
55210,394674
55370,28803
56400,1590332506
57000,1348250
57400,484549084
57600,123006755
57640,12756927
57730,19663268
57970,27903459
58300,1355077
58510,64326407
58540,98941082
58550,26625330
60340,4986967
60350,1006177
60600,498973
60700,482218
60800,4188381
61000,5936035
61010,949956
61100,4760416
61230,196526
61310,2784516
61500,7533135
61530,195151
61600,3476014
61730,1666117
61800,477
61810,568
61820,1460
62000,13358726
62100,22769778
63230,205142
63500,16627752
63620,274602
63630,149572
63640,142789
63650,2534054
63660,3121592
63700,12495094
63710,31945795
63800,5960240
63930,63
65070,36
65100,3985855
65200,692542
65260,324243
65270,5025492
65400,825864
65600,7250006
65610,1575775
65700,4923095
65710,363343
65720,5162556
65740,16204042
65780,2003175
65790,4817953
65950,94913230
67000,3784083
70100,4526782
70110,1676401
70120,1576356
70200,3660855
70210,8482192
70500,765323
70620,2965885
70640,305509
70660,694963
70900,27097612
71230,975047
71240,942860
71250,10900463
71260,1063973
71270,17477095290
71300,4133996
71310,121563984
71320,190008957
71390,14408906
71420,11480306
72300,17220830
72400,1454263
72500,778481
72530,NULL
72900,1935360
73000,3
73020,36124018
73230,4636738
80300,867498
80340,889123
80350,844804
90100,8592736
90200,191442793
90400,517588
90530,371038
90800,791448
91700,60932060
91800,933591
91810,2388086
92100,318117
92200,1183160
92210,1092683
92220,1069677
92400,289241
92500,62091
92900,3971379
94000,900035
94304,0
94600,2352046
94610,1534819
95000,153209
95500,2581245
95700,1112
96100,446837
96300,9491400
96400,32400334
96900,110390
98510,8986391
98600,6510853
98810,79199
98900,1140036
99100,37924565
99410,109648
99830,131641816
99890,58846090
99910,1055955
99920,29268
99930,87
100400,743660
100410,2930628
100970,4608127
100980,694345
102700,9227627
102850,3915372
104000,12161505
104020,391453
104100,774856
104200,786839
104320,24877781
104600,4748295
104900,17423258
105200,2253769
105400,285179945
105420,349850
105430,16583070
106000,13197001
106010,216503
107000,779294
107300,8985189
107400,499198
107430,1834
107900,2645471
108100,851388
108200,45800311
108210,113888
108700,8994761
108800,127424807
109200,1425235
109400,2242046
109410,404464
109500,64088
110500,106193
110600,354809
110610,530755
110630,209461
111000,1273956
111010,1159451
111100,1934832
111300,473915
111400,7171469
111600,2974919
113400,41107357
113900,389015
115100,24695870
116120,983204
200060,1759399
200080,1361634
200130,4935108
200350,609780
200530,701188
200940,3761183
200960,4862373
200980,1543730
200990,1048822
201000,791230
201010,1734049
201020,167729603
201070,752112
201190,888431
201280,60183878
201310,284761750
201330,165165
201420,396060
201510,1962432
201570,2166899
201760,91001364
201930,119
202110,7741
202270,6641690
202370,538305
202410,808125
202530,7713785
202570,241234
202670,622606
202690,8310385
202730,1698731
202860,1398945
202900,13
203210,3841240
203250,5024702
203510,11087948
203560,1460130
203730,10700931
203850,8772244
203990,183794
204060,18144523
204140,4786081
204360,172358518
204440,2097077
204510,211296
204580,160745
204630,5775653
204840,979470
204960,914731
205060,256294
205070,140543
205180,2
205250,731318
205270,1941013
205330,961477
205350,5266282
205550,1678735
205590,11008461
205610,38875805
205690,1102577
205710,565445
205790,63879929
205830,2571231
205840,3148109
205870,1372998
205930,23503311
205950,6285683
206020,5264879
206040,1409955
206060,3326798
206180,0
206210,3712648
206250,3305268
206270,899410
206410,940640
206480,2797595
206500,2915404
206610,374208
206630,0
206690,10775279
206740,780663
206760,1927807
206940,0
206950,0
206960,0
206970,0
206980,13690257
207000,106150
207020,1146613
207060,30560676
207080,11199307
207140,2482
207210,9313046
207230,1973119
207241,0
207370,248460
207380,384863
207400,567308
207430,9888172
207570,1195933
207670,314704
207710,112163
207730,161323
207790,1071715
207890,9761545608
208030,266344
208200,38053825
208520,39461114
208600,3355016
208610,2801330
208620,938520
208630,873735
208640,878043
208710,455523
208860,824515
209230,943401
209340,176932
209360,789674
209390,944345
209520,1039770
209610,404239
209630,376498
209690,7631775
209710,710784
209730,4574380
209850,1070813
209950,15405865
210150,4292014
210170,581080
210230,698988
210350,1025032
210390,359023
210410,1073451
210430,107634
210550,3508488
210950,2663780
210990,29361355
211010,594398
211050,1119057
211120,7604894
211140,18297883
211160,9253396
211280,477159
211340,4133433
211380,445805
211440,1545281
211500,377106
211580,11818566
211670,4260507
211800,335628
211880,156105
211900,6641060
211970,1036752
212010,17751546
212030,4513785
212090,135932
212110,225425
212180,2310487
212200,3222021
212220,474906
212240,688065
212370,217565
212390,1056572
212410,2193735
212542,17
212580,22417254
212700,487288
212740,2543603
212780,4543085
212800,493236
212910,530774171
213030,18117799
213120,48363614
213330,24641244
213610,27115085
213630,2232111
213650,333584
213850,79560404
214050,6787
214130,1135428
214210,934626
214230,978448
214270,295359
214310,298972
214320,94341
214400,142389
214420,1263957
214570,211283
214590,1517411
214610,1393356
214630,3734318
214640,8253549
214790,16613435
214850,2428326
214910,4313758
215060,292204
215120,259489
215390,1013418
215450,671450
215490,23161
215590,176257
215630,445
215690,1573854
215870,26145
215930,2242077
216090,1366024
216150,6085038
216370,295583
216570,80193905
216610,162351617
216670,3629961
216890,109893294
216930,884905
217060,3239100
217080,1985411
217140,700216
217200,7236301
217490,219027644
217750,323157
217790,2713689
217980,53988296
218020,857548
218040,3922148
218170,324083
218210,80031
218310,310746
218330,2238
218410,22934763
218450,158306
218461,0
218510,1191641
218660,906546
218700,417806
218860,576267
218980,1268660
219070,46999
219190,771403
219200,1088155
219540,84324631
219780,15401467
219800,6369550
219870,310982
219950,557280
220050,5415849
220260,270293148
220420,532581
220460,2758050
220680,389760
220700,43820569
220820,3892045
220823,1921
220824,0
220900,97735
220960,1000462
221020,113709634
221080,392823
221120,5879
221200,2071
221220,948
221300,4218527
221340,17027
221360,260955
221410,79180
221430,16765919
221560,16
221680,10737
221790,62105
222140,2193152
222160,426217
222320,50250075
222520,278898
222660,223987
222710,1538184
222820,2456366
222940,601799
222980,6716616
223000,2331948
223140,30622
223280,263785
223330,25980789
223390,18024024
223530,3075924
223710,917353
223750,564
223810,3532450
223850,2530863
223870,1549485
224320,1037732
224340,223605
224360,24253
224380,306003
224420,2089316
224440,1243890
224500,28314282
224540,169654955
224580,98303102
224700,97683
224780,4170361
224900,228399
224920,1924154
224960,4029879
224980,1778486
225000,908778
225020,1056761
225140,7316320
225160,427026
225180,83205
225200,449574
225220,1846104
225280,64331
225300,2873458
225320,1615742
225640,14499781
225760,43946
226700,378645128
226720,445899
226740,2419430
226760,336510
226780,345667
226820,454358
227160,2676348
227180,19853758
227240,188752
227260,983
227280,2010780
227320,18134769
227380,291760
227400,1084403
227600,61815
227680,8034915
227720,1796309
227860,883510
227900,40290
227920,560639
227980,3101536
228000,49739
228200,131620778
228560,506560
229480,1043813
229660,0
229890,158800
230050,8130943
230170,504509
230330,1647840
230350,338525
230760,13857
230780,1843149
230860,472628
231060,3741042
231140,21909710
231180,1934198
231670,69414
231720,112
231740,4589702
231910,833093
232010,3447264
232210,1290571
232450,2509613
232810,1046999
232910,16675744
232950,2194504
233390,1025822
233410,178535
233510,144908
233530,171897
233550,300096
233680,96922
233740,12870365
233860,18630174
234060,7754
234080,1160520
234100,119443
234190,2925146
234290,310863
234310,262613
234350,266108
234490,466124
234740,30405
234940,81127
234980,1068219
235250,1687968
235600,7772346
235660,2372595
235700,859387
235780,76349
236090,24310432
236290,99839
236370,582202
236450,22857
236530,11012
236790,1029345
236830,2009631
236970,141567
237110,26497719
237310,785353
237370,16120
237530,13
237550,271150
237570,2726394
237590,79121
238050,234596
238070,28188
238110,63432
238130,17698
238170,51921
238240,1113557
238530,1172588
238710,82661
238930,1880894
239410,236965
239430,0
239450,178257
239660,473161
239700,126828
239800,1260878
240160,70740
240180,23385
240200,21269
240220,317442
240340,2443
240600,1492166
241240,25311
241790,1274
242320,82
242460,1077
242480,0
242590,42504
242630,0
242700,0
242780,21974
242800,6315
242960,3052
242980,391
243000,454
243060,180
243120,31523
243180,0
243360,1278020
243380,138188
243950,2320470
244030,514783
244070,95545
244850,7052
244870,214115
244930,6320
245010,19
245130,20464
245350,58671
245390,237
245410,13625
245430,8308
245730,9060
246300,26755
246360,3000
246580,1118
246600,25399
246740,23009
246980,5595
247020,10597
247120,1936
247310,92
247350,7314
247580,31
247830,14
248190,0
248350,9656
248410,25198
248450,2535
248470,6474
248490,5299
248710,1484
248800,5311
249330,27072
249360,104964
249630,29371
249680,2398
249930,156
250200,0
250460,2476
250500,1471
250580,55075
250660,3685
250720,521
251170,26283
251310,445
251370,3194
251410,788
251710,674
251770,0
251790,0
252210,13
252910,147
253650,1826
253900,2263
253920,1755
253960,1841
254000,551
254020,68
254040,99
254060,1468
254440,530
254980,6877
255480,263504
255520,1062
255920,423
255940,1
256070,34
256330,6092
257220,349
258200,3036
260270,517
