app_id,average_achievement_percentage
10,NULL
30,NULL
70,NULL
80,NULL
100,NULL
130,NULL
220,17.638450546698138
240,16.973003700828635
300,5.954849303852428
380,17.236180708958553
400,22.132840943336486
420,34.79537715695121
440,11.994408996575153
500,24.741524764936266
550,12.836381610802242
570,NULL
620,23.931625520481784
630,18.44745818051425
730,26.60609081412198
1002,NULL
1200,1.8742053170095792
1250,4.337646314746242
1300,NULL
1309,NULL
1313,NULL
1500,NULL
1510,NULL
1520,2.7070791775530036
1530,3.4809216260910034
1600,NULL
1610,NULL
1630,NULL
1640,NULL
1670,NULL
1690,NULL
1700,NULL
1900,NULL
1930,NULL
2100,NULL
2130,NULL
2210,NULL
2300,NULL
2310,NULL
2350,NULL
2400,NULL
2450,4.520499881469842
2500,NULL
2520,NULL
2525,NULL
2570,NULL
2590,NULL
2600,NULL
2610,NULL
2620,NULL
2630,NULL
2640,NULL
2700,NULL
2710,NULL
2780,NULL
2800,NULL
2810,NULL
2820,3.998134822556467
2840,NULL
2920,NULL
2990,NULL
3010,NULL
3020,NULL
3130,NULL
3170,NULL
3200,NULL
3230,NULL
3260,NULL
3270,NULL
3470,NULL
3540,0.007012221978844276
3560,NULL
3590,22.68719398407709
3620,21.991736676011765
3630,NULL
3700,NULL
3710,NULL
3720,NULL
3800,NULL
3810,NULL
3820,NULL
3830,11.314258337020874
3900,NULL
3910,NULL
3920,NULL
3960,NULL
3980,NULL
3990,NULL
4300,NULL
4420,NULL
4500,NULL
4520,NULL
4530,NULL
4540,NULL
4550,NULL
4560,NULL
4570,NULL
4580,NULL
4700,NULL
4720,NULL
4760,NULL
4770,NULL
4800,NULL
4850,NULL
4870,NULL
4880,NULL
4890,NULL
4920,0.7440983034306309
6000,NULL
6020,NULL
6030,NULL
6060,NULL
6080,NULL
6090,NULL
6120,30.614386161168415
6200,NULL
6220,NULL
6250,NULL
6270,NULL
6300,NULL
6310,NULL
6370,NULL
6400,NULL
6420,NULL
6510,NULL
6550,NULL
6830,NULL
6840,NULL
6850,NULL
6860,NULL
6870,NULL
6880,NULL
6900,NULL
6910,NULL
6920,NULL
6980,NULL
7000,NULL
7010,NULL
7020,NULL
7110,NULL
7200,NULL
7210,NULL
7510,NULL
7520,NULL
7600,NULL
7610,NULL
7620,NULL
7670,NULL
7770,NULL
7830,NULL
7840,NULL
7860,NULL
7940,NULL
8000,NULL
8080,NULL
8100,NULL
8140,NULL
8170,NULL
8190,15.602921166419982
8310,NULL
8320,NULL
8340,NULL
8350,NULL
8360,NULL
8370,NULL
8380,NULL
8400,NULL
8500,NULL
8600,NULL
8800,NULL
